series_id,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1
LAUCN010010000000003,4.192,5.9,#N/A,#N/A,0,-24108,5.192,2014M12_3moAve,72
LAUCN010030000000003,3.832,5.6,#N/A,#N/A,0,-24108,4.832,,-24108
LAUCN010050000000003,7.48,10.2,#N/A,#N/A,0,-24108,8.48,,-24108
LAUCN010070000000003,4.916,7.1,#N/A,#N/A,0,-24108,5.916,,-24108
LAUCN010090000000003,3.892,5.8,#N/A,#N/A,0,-24108,4.892,,-24108
LAUCN010110000000003,9.924,8.2,2010M05,2012M03_3moAve,2012M03_3moAve,39,10.924,2010M05_3moAve,17
LAUCN010130000000003,7.296,8.4,2014M11,2014M12_3moAve,2014M12_3moAve,72,8.296,2014M10_3moAve,70
LAUCN010150000000003,4.764,7.7,#N/A,#N/A,0,-24108,5.764,,-24108
LAUCN010170000000003,10.308,6.9,2011M11,2012M03_3moAve,2012M03_3moAve,39,11.308,2011M11_3moAve,35
LAUCN010190000000003,4.932,5.9,2014M09,2014M11_3moAve,2014M11_3moAve,71,5.932,2014M05_3moAve,65
LAUCN010210000000003,4.192,6.2,#N/A,#N/A,0,-24108,5.192,2015M04_3moAve,76
LAUCN010230000000003,7.088,10.5,#N/A,#N/A,0,-24108,8.088,2014M11_3moAve,71
LAUCN010250000000003,7.464,13.5,#N/A,#N/A,0,-24108,8.464,,-24108
LAUCN010270000000003,6.68,6.9,2014M04,2014M11_3moAve,2014M11_3moAve,71,7.68,2013M12_3moAve,60
LAUCN010290000000003,4.336,6.6,#N/A,#N/A,0,-24108,5.336,,-24108
LAUCN010310000000003,4.308,6.6,#N/A,#N/A,0,-24108,5.308,,-24108
LAUCN010330000000003,5.512,8.6,#N/A,#N/A,0,-24108,6.512,,-24108
LAUCN010350000000003,7.828,9.6,#N/A,#N/A,0,-24108,8.828,2015M04_3moAve,76
LAUCN010370000000003,6.96,7.4,2015M04,2015M04_3moAve,2015M04_3moAve,76,7.96,2014M11_3moAve,71
LAUCN010390000000003,4.864,7.4,#N/A,#N/A,0,-24108,5.864,,-24108
LAUCN010410000000003,4.912,6.5,#N/A,#N/A,0,-24108,5.912,2014M11_3moAve,71
LAUCN010430000000003,4.104,5.7,#N/A,#N/A,0,-24108,5.104,2014M12_3moAve,72
LAUCN010450000000003,4.66,7,#N/A,#N/A,0,-24108,5.66,,-24108
LAUCN010470000000003,9.64,11.6,2014M12,2015M02_3moAve,2015M02_3moAve,74,10.64,2014M11_3moAve,71
LAUCN010490000000003,5.024,6.6,#N/A,#N/A,0,-24108,6.024,2014M11_3moAve,71
LAUCN010510000000003,4.172,5.6,#N/A,#N/A,0,-24108,5.172,2014M11_3moAve,71
LAUCN010530000000003,6.388,8.1,2015M04,#N/A,0,-24108,7.388,2014M11_3moAve,71
