series_id,FIPS,Average2007,July2015,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1,Returned,Month,MonthNUm,County_Name,LAT,LON,State,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Civilian_labor_force_2011,Median_Household_Income_2013,Median_Household_Income_Percent_of_State_Total_2013,Pct_less_than_hs_2009_2013,Pct_HS_Grad_only_2009_2013,Pct_SomeCollege_2009_2013,Pct_college_grad_2009_2013,Net_Mig_2010_2014,MigRate_2010_2014,Total_Business_Establishments_2011,Business_Estab_under_20_emp,Business_Estab_20to99_emp,Business_Estab_100to499_emp,Business_Estab_over500_emp,Stimulus,StimulusPerCapita,farm,mine,manf,fsgov,serv,nonsp,house,loweduc,lowemp,perpov,poploss,rec,retire,perchldpov,PctBlack,Summer678,Spring345,Fall91011,StimPC_Limit,StimPC_Limit2,HolidaySeason,January,February,March,April,May,June,July,August,September,October,November,December,OilRegion,Bakken,EagleFord,Marcellus
LAUCN380750000000003,38075,2.816,3.4,3.816,2010M01_3moAve,1,1,01,1,"Renville County, ND",48.712781,-101.658152,ND,9,8,1399,61533,108.3327465,6.734006734,29.51739618,46.52076319,17.22783389,89,3.60,105,81,10.00,5.00,9.00,2150989,868,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2298850575,0,0,0,868,868,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN380570000000003,38057,4.384,4.3,5.384,2010M05_3moAve,5,1,05,5,"Mercer County, ND",47.307147,-101.833328,ND,7,11,4186,70150,123.5035211,11.23141564,30.8177117,37.41111829,20.53975436,237,2.81,229,172,25.00,12.00,20.00,8341187,990,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04627487274,0,1,0,990,990,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
LAUCN300830000000003,30083,2.784,2.7,3.784,2010M07_3moAve,7,1,07,7,"Richland County, MT",47.785513,-104.563387,MT,7,9,6152,64171,136.8455846,9.754366037,34.30356382,38.23654693,17.70552321,1599,16.41,502,368,54.00,13.00,67.00,10810596,1108,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.09310023792,1,0,0,1108,1108,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
LAUCN380250000000003,38025,3.532,1.8,4.532,2010M01_3moAve,1,1,01,1,"Dunn County, ND",47.354548,-102.612366,ND,9,10,2935,69914,123.0880282,9.869158879,32.89719626,39.36448598,17.86915888,792,22.40,132,104,13.00,7.00,8.00,4363640,1233,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0.02777777778,0,0,0,1233,1233,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN300550000000003,30055,2.5,1.9,3.5,2010M01_3moAve,1,1,01,1,"McCone County, MT",47.629628,-105.757222,MT,9,12,1098,41918,89.39074062,5.601194922,46.22852875,29.57430919,18.59596714,-26,-1.50,57,47,4.00,2.00,4.00,2299385,1321,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3034901366,0,0,0,1321,1321,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN300210000000003,30021,3.24,3.1,4.24,2010M05_3moAve,5,1,05,5,"Dawson County, MT",47.272425,-104.901027,MT,7,11,4548,50650,108.0118568,10.73877805,29.55112219,41.59912718,18.11097257,522,5.82,332,245,22.00,24.00,41.00,13597908,1522,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.253891158,0,1,0,1522,1522,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
LAUCN380330000000003,38033,2.736,2.1,3.736,2010M01_3moAve,1,1,01,1,"Golden Valley County, ND",46.938924,-103.844612,ND,9,12,948,48103,84.68838028,8.828671329,28.32167832,44.58041958,18.26923077,128,7.62,71,57,8.00,0.00,6.00,2613004,1550,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1550,1550,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN380490000000003,38049,5.06,3.8,6.06,2010M01_3moAve,1,1,01,1,"McHenry County, ND",48.233842,-100.633267,ND,9,8,3177,49078,86.40492958,11.55189621,38.84730539,33.25848303,16.34231537,535,9.92,122,98,14.00,4.00,6.00,9376595,1738,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.08351428094,0,0,0,1738,1738,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN300910000000003,30091,2.952,2.2,3.952,2010M05_3moAve,5,1,05,5,"Sheridan County, MT",48.705523,-104.533913,MT,9,12,1886,50292,107.2484166,9.295993777,25.94321276,41.38467522,23.37611824,388,11.47,160,143,7.00,6.00,4.00,5999536,1777,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.09744214373,0,1,0,1777,1777,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
LAUCN381010000000003,38101,2.976,2.8,3.976,2010M01_3moAve,1,1,01,1,"Ward County, ND",48.216686,-101.540537,ND,5,8,32768,56192,98.92957746,7.131782946,28.32634388,38.68852459,25.85334858,4948,8.02,1866,1265,224.00,112.00,265.00,111520084,1796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.219576495,0,0,0,1796,1796,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN381050000000003,38105,1.808,1.8,2.808,2010M01_3moAve,1,1,01,1,"Williams County, ND",48.355765,-103.501333,ND,7,8,20344,84237,148.3045775,10.53961379,29.88630211,39.68597726,19.88810684,8521,38.04,1118,798,116.00,65.00,139.00,43089120,1911,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.1214513436,0,0,0,1911,1911,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN380130000000003,38013,2.456,3.1,3.456,2010M05_3moAve,5,1,05,5,"Burke County, ND",48.786453,-102.520087,ND,9,10,1168,60416,106.3661972,12.63011797,35.18390007,34.76752255,17.4184594,222,11.28,85,64,8.00,3.00,10.00,4664904,2370,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.133809099,0,1,0,2370,2370,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
LAUCN380070000000003,38007,2.296,2.1,3.296,2010M01_3moAve,1,1,01,1,"Billings County, ND",47.007044,-103.364016,ND,9,10,440,74636,131.4014085,11.09445277,37.1814093,30.13493253,21.5892054,94,12.01,53,52,1.00,0.00,0.00,1879648,2413,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2413,2413,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN380890000000003,38089,2.42,2.1,3.42,2010M01_3moAve,1,1,01,1,"Stark County, ND",46.817031,-102.662026,ND,7,8,16302,69566,122.4753521,10.70019433,31.09946411,33.46092692,24.73941464,5358,22.14,1032,720,112.00,53.00,147.00,82065255,3374,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.2253048242,0,0,0,3374,3374,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN380090000000003,38009,3.44,4,4.44,2010M01_3moAve,1,1,01,1,"Bottineau County, ND",48.794412,-100.831257,ND,9,10,3367,61279,107.8855634,11.88542112,27.46900385,39.69645147,20.94912356,254,3.95,272,225,32.00,4.00,11.00,23671736,3679,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.2238075255,0,0,0,3679,3679,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN380530000000003,38053,2.764,2,3.764,2010M01_3moAve,1,1,01,1,"McKenzie County, ND",47.742475,-103.403215,ND,9,10,4638,75699,133.2728873,10.09115964,28.08988764,39.51664193,22.30231079,4217,66.31,292,233,27.00,10.00,22.00,25443835,3966,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.06972285166,0,0,0,3966,3966,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN380550000000003,38055,4.576,3.5,5.576,2010M05_3moAve,5,1,05,5,"McLean County, ND",47.653055,-101.421794,ND,8,7,4912,53604,94.37323944,9.491625037,33.64678225,39.3182486,17.54334411,620,6.92,249,205,23.00,5.00,16.00,44010939,4898,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.02147996993,0,1,0,4898,4898,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
LAUCN380610000000003,38061,4.996,1.6,5.996,2010M01_3moAve,1,1,01,1,"Mountrail County, ND",48.210291,-102.364756,ND,9,10,6471,65546,115.3978873,9.757452324,29.80929458,42.15885947,18.27439363,1733,22.59,258,204,27.00,9.00,18.00,63780327,8248,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0.09048408988,0,0,0,8248,8248,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN300850000000003,30085,6.784,5.2,7.784,2010M01_3moAve,1,1,01,1,"Roosevelt County, MT",48.282747,-104.99517,MT,7,9,4632,34291,73.12605293,16.06796117,39.12621359,31.13268608,13.67313916,511,4.90,202,152,23.00,11.00,16.00,87435124,8365,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.04708097928,0,0,0,8365,8365,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN380230000000003,38023,3.272,1.4,4.272,2010M01_3moAve,1,1,01,1,"Divide County, ND",48.814754,-103.509326,ND,9,10,1505,63616,112,9.362662155,33.38973491,35.42019177,21.82741117,364,17.58,98,89,6.00,1.00,2.00,20322889,9752,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9752,9752,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
LAUCN481230000000003,48123,4,4.3,5,2012M04_3moAve,28,1,04,4,"DeWitt County, TX",29.082346,-97.361654,TX,6,6,9468,45937,88.82894381,23.16735823,38.1120332,26.30705394,12.41355463,521,2.59,437,333,40.00,18.00,46.00,5056239,251,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11.03782541,0,1,0,251,251,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
LAUCN482850000000003,48285,3.248,4.2,4.248,2013M12_3moAve,48,1,12,12,"Lavaca County, TX",29.382578,-96.923633,TX,6,6,9611,43827,84.74881077,20.79912023,39.87536657,23.07184751,16.25366569,551,2.86,451,366,27.00,23.00,35.00,5660412,294,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.793336804,0,0,0,294,294,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
LAUCN482550000000003,48255,5.656,4.3,6.656,2012M03_3moAve,27,1,03,3,"Karnes County, TX",28.908996,-97.852205,TX,6,4,4884,43413,83.94825386,29.23581629,35.36279429,24.23774604,11.16364338,40,0.27,260,166,24.00,25.00,45.00,5509092,371,0,0,0,1,0,0,0,1,0,1,0,0,0,1,10.79243817,0,1,0,371,371,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
LAUCN483130000000003,48313,4.864,4.4,5.864,2013M12_3moAve,48,1,12,12,"Madison County, TX",30.966878,-95.930372,TX,6,6,4678,37460,72.43686429,21.24831005,37.89995493,28.39116719,12.46056782,45,0.33,216,174,13.00,6.00,23.00,5121781,373,1,0,0,0,0,0,0,0,0,0,0,0,1,0,22.86707883,0,0,0,373,373,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
LAUCN483310000000003,48331,4.74,5.5,5.74,2014M12_3moAve,60,1,12,12,"Milam County, TX",30.791242,-96.984395,TX,6,4,10398,40120,77.58053912,18.75337453,39.52846601,27.33817266,14.3799868,-663,-2.68,424,318,39.00,20.00,47.00,10239916,414,0,0,1,0,0,0,0,0,0,0,0,0,0,1,11.0487664,0,0,0,414,414,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
LAUCN481770000000003,48177,3.828,3.8,4.828,2012M11_3moAve,35,1,11,11,"Gonzales County, TX",29.461917,-97.491861,TX,6,4,9466,37051,71.64597594,30.7413535,30.81225873,23.9265737,14.51981407,280,1.41,387,279,34.00,31.00,43.00,8348525,420,1,0,0,0,0,0,0,1,0,0,0,0,0,1,8.390594804,0,0,1,420,420,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
LAUCN483110000000003,48311,5.172,1.4,6.172,2010M01_3moAve,1,1,01,1,"McMullen County, TX",28.384922,-98.578853,TX,9,12,659,56686,109.6144178,32.95454545,20.68181818,39.54545455,6.818181818,102,14.43,17,10,3.00,1.00,3.00,339083,476,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1.175088132,0,0,0,476,476,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
LAUCN484930000000003,48493,4.3,4,5.3,2012M11_3moAve,35,1,11,11,"Wilson County, TX",29.173883,-98.086734,TX,1,1,21532,60844,117.6547937,15.39439766,34.83416395,31.81302629,17.9584121,2821,6.57,520,402,39.00,26.00,53.00,21294183,494,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1.209577882,0,0,1,494,494,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
LAUCN481490000000003,48149,3.284,3.4,4.284,2013M11_3moAve,47,1,11,11,"Fayette County, TX",29.877886,-96.921231,TX,6,4,12500,50938,98.49943922,19.84650979,36.6006433,26.79871339,16.75413351,497,2.02,727,568,72.00,26.00,61.00,12955782,528,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.007888461,0,0,1,528,528,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
LAUCN480130000000003,48013,4.34,4.8,5.34,2014M04_3moAve,52,1,04,4,"Atascosa County, TX",28.891397,-98.535381,TX,1,1,19874,46631,90.17094017,26.36097152,35.02233389,24.55681184,14.05988275,1778,3.96,626,440,66.00,28.00,92.00,24459990,544,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0.5954230092,0,1,0,544,544,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
