series_id,FIPS,FIPS_code,bFIPS_code,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DtReturnedValues,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1
LAUCN010030000000003,CN0100300000000,01003,b01003,3.832,5.6,#N/A,#N/A,0,-24108,4.832,,-24108
LAUCN010050000000003,CN0100500000000,01005,b01005,7.48,10.2,#N/A,#N/A,0,-24108,8.48,,-24108
LAUCN010070000000003,CN0100700000000,01007,b01007,4.916,7.1,#N/A,#N/A,0,-24108,5.916,,-24108
LAUCN010090000000003,CN0100900000000,01009,b01009,3.892,5.8,#N/A,#N/A,0,-24108,4.892,,-24108
LAUCN010150000000003,CN0101500000000,01015,b01015,4.764,7.7,#N/A,#N/A,0,-24108,5.764,,-24108
LAUCN010250000000003,CN0102500000000,01025,b01025,7.464,13.5,#N/A,#N/A,0,-24108,8.464,,-24108
LAUCN010290000000003,CN0102900000000,01029,b01029,4.336,6.6,#N/A,#N/A,0,-24108,5.336,,-24108
LAUCN010310000000003,CN0103100000000,01031,b01031,4.308,6.6,#N/A,#N/A,0,-24108,5.308,,-24108
LAUCN010330000000003,CN0103300000000,01033,b01033,5.512,8.6,#N/A,#N/A,0,-24108,6.512,,-24108
LAUCN010390000000003,CN0103900000000,01039,b01039,4.864,7.4,#N/A,#N/A,0,-24108,5.864,,-24108
LAUCN010450000000003,CN0104500000000,01045,b01045,4.66,7,#N/A,#N/A,0,-24108,5.66,,-24108
LAUCN010610000000003,CN0106100000000,01061,b01061,4.408,6.5,#N/A,#N/A,0,-24108,5.408,,-24108
LAUCN010630000000003,CN0106300000000,01063,b01063,7.392,11.8,#N/A,#N/A,0,-24108,8.392,,-24108
LAUCN010690000000003,CN0106900000000,01069,b01069,4.088,6.9,#N/A,#N/A,0,-24108,5.088,,-24108
LAUCN010770000000003,CN0107700000000,01077,b01077,5,7.8,#N/A,#N/A,0,-24108,6,,-24108
LAUCN010790000000003,CN0107900000000,01079,b01079,5.24,8.3,#N/A,#N/A,0,-24108,6.24,,-24108
LAUCN010830000000003,CN0108300000000,01083,b01083,4.004,5.9,#N/A,#N/A,0,-24108,5.004,,-24108
LAUCN010850000000003,CN0108500000000,01085,b01085,9.14,13.2,#N/A,#N/A,0,-24108,10.14,,-24108
LAUCN010890000000003,CN0108900000000,01089,b01089,3.592,6.1,#N/A,#N/A,0,-24108,4.592,,-24108
LAUCN010950000000003,CN0109500000000,01095,b01095,4.064,6.2,#N/A,#N/A,0,-24108,5.064,,-24108
LAUCN010970000000003,CN0109700000000,01097,b01097,4.816,7.9,#N/A,#N/A,0,-24108,5.816,,-24108
