series_id,FIPS_Code,fips_code3,bFIPS,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DateReturned3moMovingAve_VALUES,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1,County_Name,LAT,LON,State
LAUCN010030000000003,01003,1003,b01003,3.832,5.6,#N/A,#N/A,#N/A,#N/A,4.832,#N/A,#N/A,"Baldwin County, AL",30.659218,-87.746067,AL
LAUCN010050000000003,01005,1005,b01005,7.48,10.2,#N/A,#N/A,#N/A,#N/A,8.48,#N/A,#N/A,"Barbour County, AL",31.870253,-85.405104,AL
LAUCN010070000000003,01007,1007,b01007,4.916,7.1,#N/A,#N/A,#N/A,#N/A,5.916,#N/A,#N/A,"Bibb County, AL",33.015893,-87.127148,AL
LAUCN010090000000003,01009,1009,b01009,3.892,5.8,#N/A,#N/A,#N/A,#N/A,4.892,#N/A,#N/A,"Blount County, AL",33.977358,-86.56644,AL
LAUCN010150000000003,01015,1015,b01015,4.764,7.7,#N/A,#N/A,#N/A,#N/A,5.764,#N/A,#N/A,"Calhoun County, AL",33.771706,-85.822513,AL
LAUCN010250000000003,01025,1025,b01025,7.464,13.5,#N/A,#N/A,#N/A,#N/A,8.464,#N/A,#N/A,"Clarke County, AL",31.685521,-87.818624,AL
LAUCN010290000000003,01029,1029,b01029,4.336,6.6,#N/A,#N/A,#N/A,#N/A,5.336,#N/A,#N/A,"Cleburne County, AL",33.671964,-85.516126,AL
LAUCN010310000000003,01031,1031,b01031,4.308,6.6,#N/A,#N/A,#N/A,#N/A,5.308,#N/A,#N/A,"Coffee County, AL",31.402258,-85.989602,AL
LAUCN010330000000003,01033,1033,b01033,5.512,8.6,#N/A,#N/A,#N/A,#N/A,6.512,#N/A,#N/A,"Colbert County, AL",34.703112,-87.801457,AL
LAUCN010390000000003,01039,1039,b01039,4.864,7.4,#N/A,#N/A,#N/A,#N/A,5.864,#N/A,#N/A,"Covington County, AL",31.243987,-86.448721,AL
LAUCN010450000000003,01045,1045,b01045,4.66,7,#N/A,#N/A,#N/A,#N/A,5.66,#N/A,#N/A,"Dale County, AL",31.430654,-85.609476,AL
LAUCN010610000000003,01061,1061,b01061,4.408,6.5,#N/A,#N/A,#N/A,#N/A,5.408,#N/A,#N/A,"Geneva County, AL",31.092393,-85.821011,AL
LAUCN010630000000003,01063,1063,b01063,7.392,11.8,#N/A,#N/A,#N/A,#N/A,8.392,#N/A,#N/A,"Greene County, AL",32.844497,-87.9642,AL
LAUCN010690000000003,01069,1069,b01069,4.088,6.9,#N/A,#N/A,#N/A,#N/A,5.088,#N/A,#N/A,"Houston County, AL",31.158193,-85.296398,AL
LAUCN010770000000003,01077,1077,b01077,5,7.8,#N/A,#N/A,#N/A,#N/A,6,#N/A,#N/A,"Lauderdale County, AL",34.904122,-87.650997,AL
LAUCN010790000000003,01079,1079,b01079,5.24,8.3,#N/A,#N/A,#N/A,#N/A,6.24,#N/A,#N/A,"Lawrence County, AL",34.529776,-87.321865,AL
LAUCN010830000000003,01083,1083,b01083,4.004,5.9,#N/A,#N/A,#N/A,#N/A,5.004,#N/A,#N/A,"Limestone County, AL",34.810239,-86.981399,AL
LAUCN010850000000003,01085,1085,b01085,9.14,13.2,#N/A,#N/A,#N/A,#N/A,10.14,#N/A,#N/A,"Lowndes County, AL",32.147888,-86.650586,AL
LAUCN010890000000003,01089,1089,b01089,3.592,6.1,#N/A,#N/A,#N/A,#N/A,4.592,#N/A,#N/A,"Madison County, AL",34.764238,-86.55108,AL
LAUCN010950000000003,01095,1095,b01095,4.064,6.2,#N/A,#N/A,#N/A,#N/A,5.064,#N/A,#N/A,"Marshall County, AL",34.309564,-86.321668,AL
LAUCN010970000000003,01097,1097,b01097,4.816,7.9,#N/A,#N/A,#N/A,#N/A,5.816,#N/A,#N/A,"Mobile County, AL",30.684572,-88.196568,AL
LAUCN011030000000003,01103,1103,b01103,4.336,6.4,#N/A,#N/A,#N/A,#N/A,5.336,#N/A,#N/A,"Morgan County, AL",34.454484,-86.846402,AL
LAUCN011090000000003,01109,1109,b01109,4.436,7.3,#N/A,#N/A,#N/A,#N/A,5.436,#N/A,#N/A,"Pike County, AL",31.798651,-85.941604,AL
LAUCN011270000000003,01127,1127,b01127,4.988,7.4,#N/A,#N/A,#N/A,#N/A,5.988,#N/A,#N/A,"Walker County, AL",33.791558,-87.301094,AL
LAUCN011310000000003,01131,1131,b01131,11.712,16.2,#N/A,#N/A,#N/A,#N/A,12.712,#N/A,#N/A,"Wilcox County, AL",31.990085,-87.304907,AL
LAUCN040010000000003,04001,4001,b04001,10.116,14.8,#N/A,#N/A,#N/A,#N/A,11.116,#N/A,#N/A,"Apache County, AZ",35.385084,-109.490172,AZ
LAUCN040030000000003,04003,4003,b04003,4.928,7.9,#N/A,#N/A,#N/A,#N/A,5.928,#N/A,#N/A,"Cochise County, AZ",31.840129,-109.775163,AZ
LAUCN040050000000003,04005,4005,b04005,4.62,7.2,#N/A,#N/A,#N/A,#N/A,5.62,#N/A,#N/A,"Coconino County, AZ",35.829692,-111.773728,AZ
LAUCN040070000000003,04007,4007,b04007,5.336,8.5,#N/A,#N/A,#N/A,#N/A,6.336,#N/A,#N/A,"Gila County, AZ",33.789618,-110.81187,AZ
LAUCN040150000000003,04015,4015,b04015,6.112,8.7,#N/A,#N/A,#N/A,#N/A,7.112,#N/A,#N/A,"Mohave County, AZ",35.717705,-113.749689,AZ
LAUCN040270000000003,04027,4027,b04027,16.02,26.6,#N/A,#N/A,#N/A,#N/A,17.02,#N/A,#N/A,"Yuma County, AZ",32.773942,-113.910905,AZ
