series_id,FIPS_Code,fips_code3,bFIPS,Average2007,July2015,DateReturned,DateReturned3moMovingAve,DateReturned3moMovingAve_VALUES,MonthsReturn,2007Ave_pls1,DateReturned3MoMovingAve_pls1,MonthsReturn_pls1,County_Name,_Name,LAT,LON,State,SpotCheck,Rural_urban_continuum_code_2013,Urban_influence_code_2013,Civilian_labor_force_2011,Median_Household_Income_2013,Median_Household_Income_Percent_of_State_Total_2013,Pct_less_than_hs_2009_2013,Pct_HS_Grad_only_2009_2013,Pct_SomeCollege_2009_2013,Pct_college_grad_2009_2013,Net_Mig_2010_2014,MigRate_2010_2014,Total_Business_Establishments_2011,Business_Estab_under_20_emp,Business_Estab_20to99_emp,Business_Estab_100to499_emp,Business_Estab_over500_emp,Stimulus,StimulusPerCapita
LAUCN010030000000003,01003,1003,b01003,3.832,5.6,#N/A,#N/A,#N/A,#N/A,4.832,#N/A,#N/A,"Baldwin County, AL","Baldwin, AL",30.659218,-87.746067,AL,#REF!,3,2,84961,47539,110.8600345,10.92470572,29.16048377,32.16902578,27.74578474,"16,080.00",8.82,"4,624.00","3,190.00",437.00,196.00,801.00,151570284,827
LAUCN010050000000003,01005,1005,b01005,7.48,10.2,#N/A,#N/A,#N/A,#N/A,8.48,#N/A,#N/A,"Barbour County, AL","Barbour, AL",31.870253,-85.405104,AL,#REF!,6,6,9851,30981,72.24709668,26.34295344,32.88919317,27.36465136,13.40320202,-504.00,-1.84,501.00,343.00,40.00,20.00,98.00,16578410,605
LAUCN010070000000003,01007,1007,b01007,4.916,7.1,#N/A,#N/A,#N/A,#N/A,5.916,#N/A,#N/A,"Bibb County, AL","Bibb, AL",33.015893,-87.127148,AL,#REF!,1,1,8928,39781,92.76852759,22.54889179,40.78226858,24.60234681,12.06649283,-461.00,-2.01,285.00,204.00,34.00,17.00,30.00,9082020,397
LAUCN010090000000003,01009,1009,b01009,3.892,5.8,#N/A,#N/A,#N/A,#N/A,4.892,#N/A,#N/A,"Blount County, AL","Blount, AL",33.977358,-86.56644,AL,#REF!,1,1,25104,44392,103.521291,23.00622973,34.65736498,30.24507028,12.09133502,-130.00,-0.23,690.00,526.00,52.00,23.00,89.00,26154707,456
LAUCN010150000000003,01015,1015,b01015,4.764,7.7,#N/A,#N/A,#N/A,#N/A,5.764,#N/A,#N/A,"Calhoun County, AL","Calhoun, AL",33.771706,-85.822513,AL,#REF!,3,2,51230,37898,88.37740777,21.38901267,32.93144058,29.60468521,16.07486154,"-2,391.00",-2.02,"2,333.00","1,467.00",238.00,100.00,528.00,113310253,956
LAUCN010250000000003,01025,1025,b01025,7.464,13.5,#N/A,#N/A,#N/A,#N/A,8.464,#N/A,#N/A,"Clarke County, AL","Clarke, AL",31.685521,-87.818624,AL,#REF!,7,11,8853,34593,80.67021128,21.72979871,42.0500029,25.0420558,11.17814258,-866.00,-3.35,601.00,411.00,48.00,45.00,97.00,34813375,1351
LAUCN010290000000003,01029,1029,b01029,4.336,6.6,#N/A,#N/A,#N/A,#N/A,5.336,#N/A,#N/A,"Cleburne County, AL","Cleburne, AL",33.671964,-85.516126,AL,#REF!,8,4,5935,40407,94.22834756,23.96475771,39.28536466,27.72393539,9.025942242,5.00,0.03,157.00,121.00,13.00,9.00,14.00,9368776,625
LAUCN010310000000003,01031,1031,b01031,4.308,6.6,#N/A,#N/A,#N/A,#N/A,5.308,#N/A,#N/A,"Coffee County, AL","Coffee, AL",31.402258,-85.989602,AL,#REF!,4,5,20738,44666,104.1602537,17.64411912,29.51759414,30.31131493,22.52697181,336.00,0.67,953.00,677.00,90.00,54.00,132.00,28717450,573
LAUCN010330000000003,01033,1033,b01033,5.512,8.6,#N/A,#N/A,#N/A,#N/A,6.512,#N/A,#N/A,"Colbert County, AL","Colbert, AL",34.703112,-87.801457,AL,#REF!,3,2,24374,40032,93.35385476,16.54395271,34.56838994,31.19045734,17.69720001,433.00,0.80,"1,257.00",837.00,119.00,85.00,216.00,38490247,707
LAUCN010390000000003,01039,1039,b01039,4.864,7.4,#N/A,#N/A,#N/A,#N/A,5.864,#N/A,#N/A,"Covington County, AL","Covington, AL",31.243987,-86.448721,AL,#REF!,6,6,16352,35187,82.05540786,21.63776054,34.25756884,29.92925605,14.17541457,301.00,0.80,864.00,623.00,82.00,25.00,134.00,23892376,632
