id,Area_Type,FIPS,area_text,display_level,selectable,sort_sequence
1202,F,CN0100100000000,"Autauga County, AL",0,T,27
1203,F,CN0100300000000,"Baldwin County, AL",0,T,28
1204,F,CN0100500000000,"Barbour County, AL",0,T,29
1205,F,CN0100700000000,"Bibb County, AL",0,T,30
1206,F,CN0100900000000,"Blount County, AL",0,T,31
1207,F,CN0101100000000,"Bullock County, AL",0,T,32
1208,F,CN0101300000000,"Butler County, AL",0,T,33
1209,F,CN0101500000000,"Calhoun County, AL",0,T,34
1210,F,CN0101700000000,"Chambers County, AL",0,T,35
1211,F,CN0101900000000,"Cherokee County, AL",0,T,36
1212,F,CN0102100000000,"Chilton County, AL",0,T,37
1213,F,CN0102300000000,"Choctaw County, AL",0,T,38
1214,F,CN0102500000000,"Clarke County, AL",0,T,39
1215,F,CN0102700000000,"Clay County, AL",0,T,40
1216,F,CN0102900000000,"Cleburne County, AL",0,T,41
1217,F,CN0103100000000,"Coffee County, AL",0,T,42
1218,F,CN0103300000000,"Colbert County, AL",0,T,43
1219,F,CN0103500000000,"Conecuh County, AL",0,T,44
1220,F,CN0103700000000,"Coosa County, AL",0,T,45
1221,F,CN0103900000000,"Covington County, AL",0,T,46
1222,F,CN0104100000000,"Crenshaw County, AL",0,T,47
1223,F,CN0104300000000,"Cullman County, AL",0,T,48
1224,F,CN0104500000000,"Dale County, AL",0,T,49
1225,F,CN0104700000000,"Dallas County, AL",0,T,50
1226,F,CN0104900000000,"DeKalb County, AL",0,T,51
1227,F,CN0105100000000,"Elmore County, AL",0,T,52
1228,F,CN0105300000000,"Escambia County, AL",0,T,53
1229,F,CN0105500000000,"Etowah County, AL",0,T,54
1230,F,CN0105700000000,"Fayette County, AL",0,T,55
1231,F,CN0105900000000,"Franklin County, AL",0,T,56
1232,F,CN0106100000000,"Geneva County, AL",0,T,57
1233,F,CN0106300000000,"Greene County, AL",0,T,58
1234,F,CN0106500000000,"Hale County, AL",0,T,59
1235,F,CN0106700000000,"Henry County, AL",0,T,60
1236,F,CN0106900000000,"Houston County, AL",0,T,61
1237,F,CN0107100000000,"Jackson County, AL",0,T,62
1238,F,CN0107300000000,"Jefferson County, AL",0,T,63
1239,F,CN0107500000000,"Lamar County, AL",0,T,64
1240,F,CN0107700000000,"Lauderdale County, AL",0,T,65
1241,F,CN0107900000000,"Lawrence County, AL",0,T,66
1242,F,CN0108100000000,"Lee County, AL",0,T,67
1243,F,CN0108300000000,"Limestone County, AL",0,T,68
1244,F,CN0108500000000,"Lowndes County, AL",0,T,69
1245,F,CN0108700000000,"Macon County, AL",0,T,70
1246,F,CN0108900000000,"Madison County, AL",0,T,71
1247,F,CN0109100000000,"Marengo County, AL",0,T,72
1248,F,CN0109300000000,"Marion County, AL",0,T,73
1249,F,CN0109500000000,"Marshall County, AL",0,T,74
1250,F,CN0109700000000,"Mobile County, AL",0,T,75
1251,F,CN0109900000000,"Monroe County, AL",0,T,76
1252,F,CN0110100000000,"Montgomery County, AL",0,T,77
1253,F,CN0110300000000,"Morgan County, AL",0,T,78
1254,F,CN0110500000000,"Perry County, AL",0,T,79
1255,F,CN0110700000000,"Pickens County, AL",0,T,80
1256,F,CN0110900000000,"Pike County, AL",0,T,81
1257,F,CN0111100000000,"Randolph County, AL",0,T,82
1258,F,CN0111300000000,"Russell County, AL",0,T,83
1259,F,CN0111500000000,"St. Clair County, AL",0,T,84
1260,F,CN0111700000000,"Shelby County, AL",0,T,85
1261,F,CN0111900000000,"Sumter County, AL",0,T,86
1262,F,CN0112100000000,"Talladega County, AL",0,T,87
1263,F,CN0112300000000,"Tallapoosa County, AL",0,T,88
1264,F,CN0112500000000,"Tuscaloosa County, AL",0,T,89
1265,F,CN0112700000000,"Walker County, AL",0,T,90
1266,F,CN0112900000000,"Washington County, AL",0,T,91
1267,F,CN0113100000000,"Wilcox County, AL",0,T,92
1268,F,CN0113300000000,"Winston County, AL",0,T,93
1269,F,CN0201300000000,"Aleutians East Borough, AK",0,T,145
1270,F,CN0201600000000,"Aleutians West Census Area, AK",0,T,146
1271,F,CN0202000000000,"Anchorage Borough/municipality, AK",0,T,147
1272,F,CN0205000000000,"Bethel Census Area, AK",0,T,148
1273,F,CN0206000000000,"Bristol Bay Borough, AK",0,T,149
1274,F,CN0206800000000,"Denali Borough, AK",0,T,150
1275,F,CN0207000000000,"Dillingham Census Area, AK",0,T,151
1276,F,CN0209000000000,"Fairbanks North Star Borough, AK",0,T,152
1277,F,CN0210000000000,"Haines Borough, AK",0,T,153
