id,Area_Type,FIPS,FIPS_Code,area_text,state
1202,F,CN0100100000000,01001,"Autauga County, AL",AL
1203,F,CN0100300000000,01003,"Baldwin County, AL",AL
1204,F,CN0100500000000,01005,"Barbour County, AL",AL
1205,F,CN0100700000000,01007,"Bibb County, AL",AL
1206,F,CN0100900000000,01009,"Blount County, AL",AL
1207,F,CN0101100000000,01011,"Bullock County, AL",AL
1208,F,CN0101300000000,01013,"Butler County, AL",AL
1209,F,CN0101500000000,01015,"Calhoun County, AL",AL
1210,F,CN0101700000000,01017,"Chambers County, AL",AL
1211,F,CN0101900000000,01019,"Cherokee County, AL",AL
1212,F,CN0102100000000,01021,"Chilton County, AL",AL
1213,F,CN0102300000000,01023,"Choctaw County, AL",AL
1214,F,CN0102500000000,01025,"Clarke County, AL",AL
1215,F,CN0102700000000,01027,"Clay County, AL",AL
1216,F,CN0102900000000,01029,"Cleburne County, AL",AL
1217,F,CN0103100000000,01031,"Coffee County, AL",AL
1218,F,CN0103300000000,01033,"Colbert County, AL",AL
1219,F,CN0103500000000,01035,"Conecuh County, AL",AL
1220,F,CN0103700000000,01037,"Coosa County, AL",AL
1221,F,CN0103900000000,01039,"Covington County, AL",AL
1222,F,CN0104100000000,01041,"Crenshaw County, AL",AL
1223,F,CN0104300000000,01043,"Cullman County, AL",AL
1224,F,CN0104500000000,01045,"Dale County, AL",AL
1225,F,CN0104700000000,01047,"Dallas County, AL",AL
1226,F,CN0104900000000,01049,"DeKalb County, AL",AL
1227,F,CN0105100000000,01051,"Elmore County, AL",AL
1228,F,CN0105300000000,01053,"Escambia County, AL",AL
1229,F,CN0105500000000,01055,"Etowah County, AL",AL
1230,F,CN0105700000000,01057,"Fayette County, AL",AL
1231,F,CN0105900000000,01059,"Franklin County, AL",AL
1232,F,CN0106100000000,01061,"Geneva County, AL",AL
1233,F,CN0106300000000,01063,"Greene County, AL",AL
1234,F,CN0106500000000,01065,"Hale County, AL",AL
1235,F,CN0106700000000,01067,"Henry County, AL",AL
1236,F,CN0106900000000,01069,"Houston County, AL",AL
1237,F,CN0107100000000,01071,"Jackson County, AL",AL
1238,F,CN0107300000000,01073,"Jefferson County, AL",AL
1239,F,CN0107500000000,01075,"Lamar County, AL",AL
